id,title,abstract,supervisor
cc9400fc-9c76-48ab-9120-e13c12566f6a,adapting contextual bandit algorithms to adserving platforms,contextual bandit algorithms are developed to gain maximum rewards from an unknown distribution in limited trials by exploiting contextual information they can be adapted to yield solutions for adserving systems with a short campaign time several new contextual bandit algorithms have been proposed in recent years but their performance is poorly understood in realworld scenarios this study tests these algorithms particularly the adaptivegreedy algorithm david cortes  in multiple simulated and realworld datasets we found that the adaptivegreedy algorithm can achieve up to  clickthrough rate improvement compared to the widely used bootstrappedthompson sampling algorithm bts at the same time the adaptivegreedy algorithm can be up to  times faster in training and predicting than the bts algorithm offpolicy evaluation ope which allows us to evaluate our new models from the log data generated by other policies provides vital backtesting results to inform new policy decisions to this end we study and compare different ope methods and use them to evaluate our proposed algorithms  reference david cortes adapting multiarmed bandits policies to contextual bandits scenarios aikaijian zhongabhishek ghose emma n,Leonard Wong
7e2ff01d-5a39-4a23-a14f-9e1c603b107d,defending white box adversarial examples with a guided denoiser,as deep neural networks become increasingly common in security conscious applications such as selfdriving cars or malware detection protecting networks from manipulation by an attacker has become increasingly important however neural networks trained to classify images are vulnerable to mistakes caused by images imperceptibly altered by an adversary existing defences against adversarial examples either require extensive retraining as in adversarial training or have been shown to be ineffective against an adversary that is aware of the defense a white box adversary as in the case of many preprocessing defenses we show that a denoising neural network can be trained to provide white box defense extending previous work which showed effectiveness only against an adversary unaware of the defense our defense provides comparable clean and robust accuracy to adversarial training when applied to the model used to guide the denoiser during training additionally the denoiser was transferred to other models trained on the same dataset where it provided a  increase in robust accuracy on average when compared to the same models with no defense the defenseamdalexander cannihab amer,Gennady Pekhimenko
b2fefba8-a7d4-4998-ac38-e1e761692ea2,modern gameplay test automation with reinforcement learning,gameplay testing on computer games to help ensure high per formance for graphics cards is often per formed manually resulting in substantial time and cost expenditures though many reinforcement learning rl studies have been conducted on gameplay most tend to focus on older game titles and have access to internal game information through apis this projectxexxas objective is to develop a solution capable of automating a limited time  minutes playthrough on a modern game title with rl without relying on access to internal game information  the solution focuses on automating player navigation to make progress in singleplayer games we collect screenshots during realtime gameplay as the rl agent traverses the game environment which we then put through image analysis and computer vision tools for processing to serve as observations for the agent a neural network then handles processing of policy updates during training timesteps using the proximal policy optimization ppo method the model is qualitatively evaluated by observing fully automated gameplay which has shown the current solution to effectively maneuver through navigationfocused areas as well as some instances when it is necessary for the agent to correctly react to ingame interaction prompts future work will involve training the model on different types of gameplay and on transfer learning to new titles the results from this project will ultimately demonstrate the ability of rl to perform well in modern gameplay amdallen baoyonas bedasso max kiehn vinay panditamir,Amir-massoud Farahmand
ab8e4985-bf0e-4486-9fa2-0401915b3bff,reducing data loading time in machine learning by reusing minibatches,training of models in machine learning is typically done by dividing a dataset into equally sized subsets called minibatches at each step of training a minibatch is loaded to the gpu where it is used once to determine updates to parameters if data loading is the bottleneck then this process will lead to idle time for the gpu as it waits for the next minibatch wasting precious gpu compute resources thus we propose a change to the training procedure and suggest reusing minibatches that have already been loaded into the gpu to perform additional parameter updates while waiting for the next minibatch if the number of times each minibatch is used is kept the same as regular training then this idea will lead to a speed up in training time an unintended consequence of minibatch to remedy this we modify the technique to adaptively adjust the amount of reuse based on how the model performs on unseen data we have evaluated our technique on some example models with data loading bottleneck and found that on average we get around xcx speed up with no loss in model accuracy some next steps include trying out more examples to see if the results we can get more speed upamdjafeer uddinabhinav vishnuma,Maryam Mehri Dehnavi
ef4c61ef-ed8a-475e-849e-ac9d063318e8,hybrid recommender system for applications based on heterogeneous commercial data,currently developed recommender system in the application marketplaces focuses only on the surface interactions between users and items which limits the use of information from various sources to further improve the existing recommendation engine we use a wider range of user information such as the browsing history in the website moreover the model can take advantage of applicationsxexxa information including their properties and descriptionsthe productsxexxa information is embedded by a pretrained language model the embeddings provide a better understanding for our model to recommend machine with the neural network to create an endtoend model this model can learn combined implicit features as well as corresponding low and highorder interactions simultaneously proposed model compared with existing baseline models the results demonstrate that our proposed advisor team to provide an interpretation of our results which also proved that our improved system is more effective from usersxexxa perspective as we aim to continually enhance our recommender system the next steps would involve researching how to represent and integrate more data such as utilizing a knowledge graph or the sequential interactions in our modelappdirectyiwen fengdominic,Peter Marbach
8419c27f-5df9-4599-9fd5-e1d3c26ba5e5,apifuzz introspection assisted fuzzer for qn x resource managers,blackberry qnx is a microkernel realtime operating system built for the worldxexxas most critical embedded systems resource managers are widely used for local communication between processes in qnx system these critical processes are usually stateful and accessed by other applications using portable operating system interface fuzzing is a dynamic analysis security testing technique that involves providing random or invalid data as inputs to programs a greybox fuzzer leverages coveragefeedback to learn how to reach deeper execution states of the program it often uses instrumentation to get runtime coverage for guiding the test case generation which  examines the state of the binary without modifying it by introducing a new introspectionbased graybox fuzzing tool targeted at resource managers in both kernel and user mode the experiments show that the tool using introspection explores more program states than a corresponding blackbox fuzzer  the next step involves experimenting with more complex resource managers and the kernel           blackberrycongwei chenglenn,David Lie
a8c3717b-f93f-404a-8297-4953e8675a1b,taking the first steps towards building a hardware bill of materials,cost of increasing complexity vastness and reliance on a plethora of components and libraries not all of which are known intimately to developers testers and consumers of these software systems leaving them exposed to risks and vulnerabilities  blackberryxexxas jarvis a software compositional analysis platform breaks down software binaries into a software bill of materials and highlights potential vulnerabilities by severity category that help customers ensure that their software supply chains are secure in an effort to rise against competition and to lead the market in terms of capability and per formance our project attempted to the hardware and processor from the software binaries uploaded by customers providing a more comprehensive picture of the potential threat landscape surrounding the software being used by them  lineage closely inspecting various properties and features across generations to build a ladder of potential detection strategies for arm families and processors having synthesized a working list of differences for most used arm architectures we disassembled sample binaries and wrote pattern matching rules to detect the variant versions identify them and map them to known cves surrounding the processor and architecture  arming the jarvis tool with this functionality will result in a broader and deeper understanding of the security and risk architecture of a customerxexxas software and hardware infrastructure and consequently grant blackberry the ability to assess the security posture more holistically by mapping more relevant vulnerabilities and patches continuing this project and research will enable jarvis to be a market leader in its class and empower users to know more about the software they interact with use and sellblackberrydivas kapurcris sinnott billy mccourt paul hirstishtiaque ahme,"Ishtiaque Ahmed, Courtney Gibson"
97db2995-fb89-4e7d-9ac0-31d2bec954c8,automated domain ,the problem of automated essay scoring aes is complex and solving the problem will have for their learning the goal of this project is to provide a complete version of the software platform to the educators to assist their essay grading to achieve this goal the company automates the process of grading studentsxexxa essays and instantly provides consistent and personalized feedback at scale the main task is to analyze the performance of the machine learning ai models and create a road map to enhance the model the ai models do not evaluate sentence structures or grammar format but evaluate the context of the student responses and look for the key concepts that educators are looking for  to solve this problem the bert model is used with data from stack exchange which primarily serves as a platform for users to ask and answer questions meanwhile other methods such as lstm and wordvec are used as baseline scores outcomes of the bert model is very promising with  out of  tags can achieve accuracy higher than  which are far better than other approaches in the future we are going to build automated personalized feedback modules for students to further assist their studyblees aiyuanhao lousojin lee alexandre bo,Linbo Wang
d790a0b5-91ef-47da-8649-cbc8729d0fba,secure crossservice genomic data federated analysis with graphql,extremely diverse data types such as genomics transcriptomics imaging clinical records and more performing complex analysis across these health data in different data stores can be challenging the health data research we propose that graphql can be used in the combination of a single decision data services to the policy point our graphql interface can only query the authorized data from different services  we demonstrated that secure and private data analysis and machine learning model training can be achieved with graphql our results show that our graphql interface is able to return machine learning convenient way to query here we illustrate that querying from our graphql interface transfer fewer bytes than querying from the traditional restful api interfaces to the client our graphql interface provides a sturdy ground for federated learning in the future we hope to enable different research institutions to perform federated learning by using our graphql interfacexexxas machine learning querycandigsiyue wangjonathan du,Yun William Yu
ae6f783e-555a-40b0-8aec-163d6b8e9a0a,forecasting future fundamental metrics from earnings call transcripts using grml to guide machine learning solutions,an earnings call is a conference call between the management of a public company analysts xxexxin this report we explore various nlp and deep learning algorithmsmodels that can be used to extract features from the earnings calls in our dataset and later use them to predict the companyxexxas future fundamentals the noisy nature of our target and the extremely long length of the transcripts make training existing deep learning models challenging even though bilstm with attention is considered to be the best model for this task we show that making certain changes to the data and model architecture and using lower complexity models like lda and lstms with fewer parameters helps generalize well to outofsample data points finally we use stateoftheart transformerbased models designed to handle long sequence lengths for the same task and present our resultscpp investmentsaneek dasbrend,Eric Yu
