,feature_name,vocab_index
0,provide,718
1,paper,641
2,present,688
3,study,878
4,number,608
5,time,914
6,show,828
7,learning,506
8,also,33
9,use,950
10,approach,46
11,work,987
12,le,501
13,two,934
14,one,620
15,used,951
16,application,42
17,result,776
18,existing,321
19,novel,607
20,first,360
21,analysis,38
22,task,897
23,based,77
24,many,544
25,information,463
26,performance,656
27,proposed,713
28,large,496
29,demonstrate,222
30,framework,375
31,function,379
32,set,819
33,different,245
34,new,596
35,however,427
36,propose,712
37,technique,900
38,high,423
39,system,892
