model,accuracy score,balanced accuracy score,weighted precision,weighted recall,weighted f1 score,macro f1 score,num_features
random_forest_w2v_features_77506_n_estimators=2_max_depth=None,0.6888,0.68918536889158,0.7193175549368258,0.6888,0.6777912655930154,0.6779144269934377,77506
random_forest_w2v_features_47767_n_estimators=2_max_depth=None,0.6954,0.6957525333037602,0.7211841834418465,0.6954,0.6864393856988923,0.6865489441149887,47767
random_forest_w2v_features_38229_n_estimators=2_max_depth=None,0.69492,0.6952951617249877,0.7245283458933479,0.69492,0.6847133929952636,0.6848306843906771,38229
random_forest_w2v_features_32719_n_estimators=2_max_depth=None,0.696,0.6963695919734028,0.7247721929158497,0.696,0.6861398963733649,0.6862549087979017,32719
random_forest_w2v_features_29090_n_estimators=2_max_depth=None,0.70168,0.7020469541359424,0.7307919511432537,0.70168,0.692147771274133,0.6922597631163708,29090
random_forest_w2v_features_26414_n_estimators=2_max_depth=None,0.70012,0.7004783777496535,0.7275075432606835,0.70012,0.6909947158257391,0.6911044809835142,26414
random_forest_w2v_features_24251_n_estimators=2_max_depth=None,0.70632,0.7066756589615709,0.7340591035324082,0.70632,0.6975241914567396,0.6976308073178701,24251
random_forest_w2v_features_22539_n_estimators=2_max_depth=None,0.71012,0.7104689361728055,0.7371763868904687,0.71012,0.7017740815360016,0.7018771910062149,22539
random_forest_w2v_features_21108_n_estimators=2_max_depth=None,0.70176,0.7021181352439003,0.7293253510528332,0.70176,0.6926976714820592,0.6928067550660715,21108
random_forest_w2v_features_19888_n_estimators=2_max_depth=None,0.69936,0.699724947290012,0.7277882293472274,0.69936,0.6898614372452367,0.6899736419847295,19888
